time,open,high,low,close,tick_volume,spread,real_volume
2020-09-18 22:00:00,0.67681,0.67688,0.67599,0.67638,703,3,0
2020-09-18 23:00:00,0.67638,0.67638,0.67551,0.67567,426,6,0
2020-09-21 00:00:00,0.6764,0.67668,0.67542,0.67608,352,9,0
2020-09-21 01:00:00,0.67606,0.67627,0.67547,0.67589,792,6,0
2020-09-21 02:00:00,0.67589,0.67629,0.67566,0.67573,1325,5,0
2020-09-21 03:00:00,0.67572,0.67711,0.67549,0.6769,950,4,0
2020-09-21 04:00:00,0.6769,0.67772,0.67638,0.6768,1683,4,0
2020-09-21 05:00:00,0.6768,0.6775,0.67679,0.677,1974,8,0
2020-09-21 06:00:00,0.67703,0.67744,0.6768,0.67728,1154,5,0
2020-09-21 07:00:00,0.67728,0.67754,0.67707,0.67721,814,3,0
2020-09-21 08:00:00,0.67721,0.67746,0.67678,0.677,990,4,0
2020-09-21 09:00:00,0.67698,0.67707,0.6764,0.67659,2195,6,0
2020-09-21 10:00:00,0.67659,0.67713,0.67385,0.67402,2999,6,0
2020-09-21 11:00:00,0.674,0.67408,0.67266,0.67304,2680,6,0
2020-09-21 12:00:00,0.67304,0.67363,0.67165,0.67188,2630,7,0
2020-09-21 13:00:00,0.67188,0.6723,0.6706,0.67118,2612,4,0
2020-09-21 14:00:00,0.67118,0.67122,0.67018,0.67097,2578,5,0
2020-09-21 15:00:00,0.67098,0.67118,0.6683,0.66929,2508,6,0
2020-09-21 16:00:00,0.66929,0.66971,0.66748,0.66781,3636,6,0
2020-09-21 17:00:00,0.66781,0.66804,0.6654,0.66559,3413,5,0
2020-09-21 18:00:00,0.66559,0.66632,0.66518,0.66623,2068,6,0
2020-09-21 19:00:00,0.66622,0.66671,0.66567,0.66608,1934,7,0
2020-09-21 20:00:00,0.66607,0.66649,0.66582,0.6664,1599,4,0
2020-09-21 21:00:00,0.66637,0.66681,0.66572,0.66586,1346,5,0
2020-09-21 22:00:00,0.66583,0.66685,0.66583,0.66645,1004,7,0
2020-09-21 23:00:00,0.66643,0.66691,0.6664,0.66659,635,4,0
2020-09-22 00:00:00,0.66641,0.66839,0.66549,0.66621,827,7,0
2020-09-22 01:00:00,0.66621,0.66661,0.66579,0.66626,568,4,0
2020-09-22 02:00:00,0.66626,0.66688,0.66615,0.66639,918,3,0
2020-09-22 03:00:00,0.66639,0.6669,0.66525,0.66638,2042,4,0
2020-09-22 04:00:00,0.66638,0.66722,0.66561,0.667,2440,2,0
2020-09-22 05:00:00,0.667,0.66745,0.66675,0.66722,1408,5,0
2020-09-22 06:00:00,0.66723,0.66774,0.66702,0.66759,1147,4,0
2020-09-22 07:00:00,0.66759,0.66774,0.66701,0.66719,1302,3,0
2020-09-22 08:00:00,0.66719,0.6672,0.66598,0.66598,1276,0,0
2020-09-22 09:00:00,0.66608,0.66661,0.66499,0.66566,2591,6,0
2020-09-22 10:00:00,0.66563,0.6661,0.66381,0.6646,2827,6,0
2020-09-22 11:00:00,0.6646,0.66751,0.6646,0.66687,2181,6,0
2020-09-22 12:00:00,0.66687,0.66699,0.66607,0.66667,1935,5,0
2020-09-22 13:00:00,0.66666,0.66869,0.66665,0.66809,1813,6,0
2020-09-22 14:00:00,0.66809,0.66809,0.66639,0.66667,2003,6,0
2020-09-22 15:00:00,0.66668,0.66678,0.66518,0.66651,2144,1,0
2020-09-22 16:00:00,0.66651,0.66722,0.66528,0.66577,2392,1,0
2020-09-22 17:00:00,0.66577,0.66632,0.66352,0.66399,2541,2,0
2020-09-22 18:00:00,0.66399,0.66436,0.66314,0.66348,1890,0,0
2020-09-22 19:00:00,0.66348,0.66403,0.66221,0.66234,1647,2,0
2020-09-22 20:00:00,0.66234,0.66362,0.66229,0.6633,1127,2,0
2020-09-22 21:00:00,0.6633,0.66383,0.66303,0.6635,739,2,0
2020-09-22 22:00:00,0.6635,0.6638,0.66301,0.66371,573,3,0
2020-09-22 23:00:00,0.66371,0.66382,0.66327,0.66341,416,6,0
2020-09-23 00:00:00,0.66341,0.66341,0.66252,0.66279,959,12,0
2020-09-23 01:00:00,0.66279,0.66317,0.66254,0.66279,618,2,0
2020-09-23 02:00:00,0.6628,0.66326,0.66278,0.66302,1492,2,0
2020-09-23 03:00:00,0.66302,0.66324,0.66079,0.66115,2369,1,0
2020-09-23 04:00:00,0.66118,0.66148,0.65994,0.66016,1847,1,0
2020-09-23 05:00:00,0.66024,0.6647,0.65976,0.6615,2496,0,0
2020-09-23 06:00:00,0.6615,0.66248,0.66131,0.66158,1595,2,0
2020-09-23 07:00:00,0.66158,0.66169,0.66079,0.661,1089,2,0
2020-09-23 08:00:00,0.661,0.66156,0.661,0.66141,1225,2,0
2020-09-23 09:00:00,0.66146,0.66149,0.65915,0.66031,2399,1,0
2020-09-23 10:00:00,0.66031,0.66041,0.6593,0.65968,3156,0,0
2020-09-23 11:00:00,0.65968,0.65989,0.65897,0.65983,2484,2,0
2020-09-23 12:00:00,0.65983,0.66024,0.6595,0.6599,2177,2,0
2020-09-23 13:00:00,0.65989,0.66027,0.65886,0.65899,1614,2,0
2020-09-23 14:00:00,0.65899,0.65933,0.65865,0.65872,1354,1,0
